givatayim	2014
givatayim	2013
givatayim	2016
givatayim	2015
beer_sheva	2014
beer_sheva	2012
beer_sheva	2011
beer_sheva	2013
beer_sheva	2015
gush_etzion	2014
gush_etzion	2013
hadera	2014
hadera	2016
hadera	2015
rishon_letzion	2014
rishon_letzion	2012
rishon_letzion	2013
rishon_letzion	2016
rishon_letzion	2015
qiryat_bialik	2012
qiryat_bialik	2010
qiryat_bialik	2011
qiryat_bialik	2013
netanya	2014
netanya	2016
netanya	2015
kfar_saba	2014
kfar_saba	2016
kfar_saba	2015
hura	2012
hura	2010
hura	2011
hura	2013
schema	1994
petah_tikva	2014
petah_tikva	2016
petah_tikva	2015
jerusalem	2016
jerusalem	2015
kfar_shmaryahu	2012
kfar_shmaryahu	2011
kfar_shmaryahu	2013
ashdod	2014
ashdod	2012
ashdod	2009
ashdod	2010
ashdod	2011
ashdod	2013
ashdod	2015
ashdod	2008
omer	2016
